ID_Name_Surname_PhoneNumber_Comments
1 Natalia Anderson 79418836515
3 Andrey Petrov 79680871017
4 Natalia Ray 79407886099
5 Vladimir Morris 79096152254
6 Anna Morris 79553000429
7 Gregory Morris 79533052250
8 Inna Sivko 79664207389
9 Sergei Goodman 79619135684
10 Walter Parks 79558491131
11 Anastasia Grishko 79805885132
12 Sergei Clinton 79835784702
13 Olga Anderson 79215711206
14 Kate Parks 79536385845
15 Igor ChongGrant 79051227747
16 Olga Planton 79032570311
17 John Anderson 79806007946
18 Vladimir Smith 79519084986
20 Gregory Morris 79781642135
22 Alex Kulik 79163662075
24 Walter Grishko 79201711649
25 Walter Morris 79241988632
26 Тест Тест 000000001 >> прошел
27 Последний Тест 0000000002 >> прошел
29 Люба Любавина 8-999-999-99-99 >> Не брать!
